wheel v,accel v,servo pos,braking,wheel vel[mph],accel-based vel [mph],brake position,braking,% slip,cal,rear brake,cal,rear slip,cal
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
0,0,90,0,0,0,0,0,0,,,,,
